id,name,locality,timezone,is_mobile,is_monitor,distance,lat,lon,country_code,country_name,provider_name,owner_name,first_utc,last_utc
3243331,Qapparov köşesı (akbota.info),,Asia/Almaty,False,False,,43.210652653212826,76.94650052599252,KZ,Kazakhstan,AirGradient,Nūrjan Ädılūly,2024-11-08 17:00:00+00:00,2026-01-10 18:00:00+00:00
5473573,Roxanne,,Asia/Almaty,False,False,,43.245455,76.955559,KZ,Kazakhstan,AirGradient,AirGradient,2025-08-18 09:00:00+00:00,2025-09-10 12:00:00+00:00
6142363,Almaty,,Asia/Almaty,False,False,,43.2269,76.8834,KZ,Kazakhstan,AirGradient,AirGradient,2025-11-25 16:00:00+00:00,2025-12-02 10:00:00+00:00
6152135,Almaty,,Asia/Almaty,False,False,,43.232633,76.878267,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-04 12:00:00+00:00,2025-12-04 13:00:00+00:00
6158096,№182 mektep-gimnaziya,,Asia/Almaty,False,False,,43.281,76.824,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-09 12:00:00+00:00,2026-01-10 18:00:00+00:00
6161924,Almaty Arena,,Asia/Almaty,False,False,,43.2639,76.8193,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-12 05:00:00+00:00,2026-01-10 18:00:00+00:00
6174362,Abai – Seifullin ,,Asia/Almaty,False,False,,43.241181,76.933831,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-22 13:00:00+00:00,2026-01-10 18:00:00+00:00
6174363,GATOB,,Asia/Almaty,False,False,,43.2497,76.9458,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-22 13:00:00+00:00,2026-01-10 18:00:00+00:00
6174364,Alma City,,Asia/Almaty,False,False,,43.2213,76.7846,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-22 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175359,"Talǵar, Gagarin atyndaǵy №8 mektep",,Asia/Almaty,False,False,,43.2938,77.2347,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175360,"Panfilovo, №33 mektep",,Asia/Almaty,False,False,,43.3838,77.1163,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175361,Altai 2,,Asia/Almaty,False,False,,43.3503,76.9888,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175362,AKPTiT kolledj ,,Asia/Almaty,False,False,,43.3958,76.9865,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175363,№170 mektep,,Asia/Almaty,False,False,,43.3364,76.9775,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175364,№16 äskeri qalaşıq (Süyinbai d.),,Asia/Almaty,False,False,,43.3695,76.9869,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175365,№11 orta mektep,,Asia/Almaty,False,False,,43.3454,76.9588,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175366,№31 orta mektep,,Asia/Almaty,False,False,,43.3253,76.9676,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175367,№44 mektep-gimnaziya,,Asia/Almaty,False,False,,43.3439,77.0072,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
6175368,№168 Balabaqşa,,Asia/Almaty,False,False,,43.3105,76.8742,KZ,Kazakhstan,AirGradient,AirGradient,2025-12-23 13:00:00+00:00,2026-01-10 18:00:00+00:00
